OBJECTID,Id,PWS_Name,Pop_Served,Connection,PWSID,PWS_Type,Source,Owner,Size,OUA,File_No,APN,Level_,Vul_Code,Status,ShapeSTArea,ShapeSTLength
1,4,Afuera De Chorro Water Company,75,19,CA4000744,CWS,GW,Private,Very_Small, , , ,pending,,Active,8151859.42578125,13177.0280173797
2,1,AMWC,28914,10653,CA4010002,CWS,GW,Private,Large, , , ,vulnerable,,Active,1083087789.08984,146900.819218044
3,4,Babe Ruth's Oak View,50,25,CA4000644,TNCWS,GW,Private,Very_Small, , , ,watch,,Active,846859.155273438,4236.71883943042
4,4,Baron Canyon Mutual Water Company,25,23,CA4000214,CWS,GW,Private,Very_Small, , , ,watch,,Active,21314833.2578125,22107.6836851645
5,4,Bassi Ranch Mutual Water Company,85,24,CA4000200,CWS,GW,Private,Very_Small, , , ,watch,,Active,2920572.12695312,13620.4016375825
6,4,Bear Valley Water Company,45,18,CA4000660,CWS,GW,Private,Very_Small, , , ,watch,,Active,5268651.578125,11367.8749852377
7,4,Bella Vista Mobile Lodge,200,84,CA4000512,CWS,GW,Private,Very_Small, , , ,vulnerable,,Active,482453.890625,2852.77241975828
8,4,Black Lake Canyon Water Company,4,2,CA4000704, TNCWS,GW,Private,Very_Small, , , ,watch,,Active,1770665.15039062,5623.20073391862
9,4,Cal Shasta Club,166,83,CA4000640,TNCWS,GW,Private,Very_Small, , , ,vulnerable,,Active,15806752.34375,20647.6039746348
10,4,Callender Grove Mutual Water Company,50,36,CA4000805,CWS,GW,Private,Very_Small, , , ,vulnerable,,Active,2781094.4921875,7598.25883540146
11,4,Canyon Crest Mutual Benefit Water Company,125,54,CA4000230,CWS,SWP,Private,Very_Small, , , ,watch,,Active,3104001.03710938,8425.56199177396
12,4,Christmas Cove Company,100,40,CA4000642,TNCWS,GW,Private,Very_Small, , , ,pending,,Active,2559213.39746094,6616.85877875826
13,4,Creekside Commercial Center,75,6,CA4000641,NTNCWS,GW,Private,Very_Small, , , ,pending,,Active,111826.6640625,1974.51829928639
14,4,Cuyama Lane Water Company,25,2,CA4000598,NTNCWS,GW,Private,Very_Small, , , ,pending,,Active,6847.90625,385.449022202381
15,4,Deer Valley Mutual Water Company,8,9,CA4000587,TNCWS,GW,Private,Very_Small, , , ,watch,,Active,511762.534179688,2944.48726719739
16,3,PG&E Diablo Canyon,1200,1,CA4000589,NTNCWS,SW,Private,Small, , , ,watch,,Active,490559269.6875,191871.854186894
17,4,Double J Mobile Estates,43,24,CA4000646,CWS,GW,Private,Very_Small, , , ,pending,,Inactive,257536.830078125,2065.635686734
18,4,Edna Ranch Mutual Water Company - East,60,42,CA4000202,CWS,GW,Private,Very_Small, , , ,pending,,Active,56887452.3164062,32059.0893691077
19,4,Fiero Lane Water Company,200,60,CA4000722,NTNCWS,GW,Private,Very_Small, , , ,vulnerable,,Active,4960079.35449219,16910.7386958236
20,2,Golden State Water Company Edna,1990,603,CA4010023,CWS,GW,Private,Small, , , ,vulnerable,,Active,88766512.3203125,53194.8083141354
21,2,Golden State Water Company Los Osos,8914,2701,CA4010017,CWS,GW,Private,Medium, , , ,vulnerable,,Active,67836853.9072266,58433.2061291067
22,2,Golden State Water Company Nipomo,4937,1496,CA4010018,CWS,GW,Private,Medium, , , ,vulnerable,,Active,67968994.6259766,57323.3344389653
23,4,H2O Inc,60,22,CA4000741,CWS,GW,Private,Very_Small, , , ,pending,,Active,8424140.02832031,15925.7396015148
24,4,Halcyon Water System,105,42,CA4000501,CWS,GW,Private,Very Small, , , ,watch,,Active,5623054.38085938,11209.1985567498
25,4,Hidden Hills Mobilodge,55,35,CA4000632,CWS,GW,Private,Very_Small, , , ,watch,,Active,481292.536132812,3197.34233834421
26,4,Higuera Apartments,30,24,CA4000563,CWS,GW,Private,Very_Small, , , ,pending,,Active,130938.03125,1628.44848106548
27,4,Ken Mar Gardens,68,48,CA4000648,CWS,GW,Private,Very_Small, , , ,vulnerable,,Active,219845.697265625,2504.58095573722
28,4,Laguna Negra Mutual Water Company,80,29,CA4000705,CWS,GW,Private,Very_Small, , , ,watch,,Active,3272621.0859375,7690.13256777534
29,4,Laguna Vista Boat Club,50,19,CA4000664,TNCWS,GW,Private,Very_Small, , , ,vulnerable,,Active,440141.794921875,5753.6214757476
30,4,Las Ventanas Ranch Mutual Water Company,100,57,CA4000815,CWS,GW,Private,Very Small, , , ,watch,,Active,5146062.74511719,43425.7934065733
31,4,Laureate Water Company,350,7,CA4000206,NTNCWS,GW,Private,Very_Small, , , ,vulnerable,,Active,15471798.7138672,25823.4927414498
32,4,Los Robles Mobile Estates,420,160,CA4000649,CWS,GW,Private,Very_Small, , , ,pending,,Active,1103481.57617188,5078.048166831
33,3,Mesa Dunes Mobile Home Estates,800,304,CA4000650,CWS,GW,Private,Small, , , ,pending,,Active,2181401.38867188,6576.86524238633
35,4,Nacimiento Water Company,280,624,CA4010027,CWS,GW,Private,Very_Small, , , ,critical,,Active,47510153.7470703,36699.3441265594
36,4,Noll Properties Industrial Park,50,6,CA4000734,NTNCWS,GW,Private,Very_Small, , , ,pending,,Active,233533.739257812,2408.17976743655
37,4,Northshore S&B Inc,50,40,CA4000652,TNCWS,SW,Private,Very_Small, , , ,vulnerable,,Active,1785306.26367188,9927.725007902
38,4,Nunes Water Company,45,13,CA4000505,CWS,GW,Private,Very_Small, , , ,watch,,Active,284870.4765625,2666.81642272843
39,4,Piedras Blancas Water Supply,25,2,CA4000706,TNCWS,GW,Private,Very_Small, , , ,pending,,Active,830869.8046875,4770.37772776144
40,4,Rancho Colina Mobile Home Park,250,126,CA4000653,CWS,GW,Private,Very_Small, , , ,vulnerable,,Active,9145842.76855469,13888.1466275943
41,4,Rancho Nipomo Water Company,85,44,CA4000771,CWS,GW,Private,Very_Small, , , ,pending,,Active,20207634.2871094,18162.4791421423
42,4,Rancho Salinas Mutual Benefit Water Company,25,22,CA4000803,CWS,GW,Private,Very_Small, , , ,pending,,Active,4895241.6015625,11999.9462230645
43,4,Resthaven Mobile Home Park,75,47,CA4000654,CWS,GW,Private,Very_Small, , , ,pending,,Active,853460.809570312,4100.63451469595
44,4,Rim Rock Water Company,55,24,CA4000750,CWS,GW,Private,Very_Small, , , ,pending,,Active,6373378.609375,10479.8237752303
45,4,Rinconada Trailer Park,25,15,CA4000655,TNCWS,GW,Private,Very_Small, , , ,vulnerable,,Active,325290.719726562,3122.73331259422
46,3,Golden State Water Company Cypress Ridge,1989,917,CA4010040,CWS,GW,Private,Small, , , ,vulnerable,,Active,60222497.8349609,71716.444294956
47,4,Santa Ysabel Ranch Mutual Water Company,25,146,CA4000802,CWS,GW,Private,Very_Small, , , ,pending,,Active,26338553.8007812,24371.7349835309
48,3,San Miguelito Mutual Water Company,1450,640,CA4010003,CWS,SWP,Private,Small, , , ,vulnerable,,Active,45244364.0546875,37788.8305867657
49,4,South Shore Village Club,80,40,CA4000657,TNCWS,GW,Private,Very_Small, , , ,pending,,Active,17530094.0849609,21160.0588477026
50,4,S&T Mutual Water Company,220,138,CA4000523,CWS,GW,Private,Very_Small, , , ,watch,,Active,3814288.75292969,9304.14198352703
51,4,Talley Farm Labor Housing,45,13,CA4000678,CWS,GW,Private,Very_Small, , , ,watch,,Active,9671024.65722656,19402.4364179828
52,4,Terra De Oro Water Company,35,17,CA4000749,CWS,GW,Private,Very_Small, , , ,pending,,Active,1154490.765625,4646.94338617762
53,4,Tri Counties Club,87,86,CA4000659,NTNCWS,GW,Private,Very_Small, , , ,watch,,Active,2125424.6796875,5836.4601920156
54,4,Varian Ranch Mutual Water Company,120,49,CA4000765,CWS,GW,Private,Very_Small, , , ,watch,,Active,135658045.69043,69728.4738765849
55,4,Vista De Las Flores Water,53,17,CA4000504,CWS,GW,Private,Very_Small, , , ,pending,,Active,57563.8544921875,961.024359213485
56,4,Walnut Hills Mutual Water Company,300,21,CA4000670,CWS,GW,Private,Very_Small, , , ,critical,,Active,3753065.78613281,13719.0815866912
57,2,Woodlands Mutual Water Company,4130,248,CA4010081,CWS,GW,Private,Medium, , , ,vulnerable,,Active,41432163.5224609,30613.7919915542
58,4,Woodland Park Mutual Water Company,500,151,CA4000506,CWS,GW,Private,Very_Small, , , ,vulnerable,,Active,18056670.3583984,20229.3266252488
59,4,Avila Beach CSD,300,279,CA4000222,CWS,SW,Local_Govt,Very Small, , , ,vulnerable,,Active,7820631.32226562,19157.6402239283
60,3,Atascadero State Hospital,2500,875,CA4010832,CWS,GW,State_Govt,Small, , , ,vulnerable,,Active,26809024.0439453,30163.5303108438
61,1,Arroyo Grande Water Department,16669,6330,CA4010001,CWS,SW,Local_Govt,Large, , , ,vulnerable,,Active,163394766.137695,85408.5086152781
62,3,Cal Trans Shandon Rest Stop,800,13,CA4010900,TNCWS,GW,State_Govt,Small, , , ,vulnerable,,Active,462726.928710938,2862.26920270491
63,4,Cayucos - Morro Cemetery,3,1, ,CWS,SW,Local_Govt,Very_Small, , , ,pending,,Active,311494.040039062,2472.42683286798
64,2,Cambria CSD,6500,3996,CA4010014,CWS,GW,Local_Govt,Medium, , , ,pending,,Active,134251653.563477,91294.33439665
65,1,California Mens Colony,15000,5357,CA4010830,CWS,SW,State_Govt,Large, , , ,vulnerable,,Active,37537382.0283203,35542.4382082588
66,3,Cayucos CSA 10,3150,738,CA4010025,CWS,SW,Local_Govt,Small, , , ,vulnerable,,Active,35027731.7021484,50641.7717591099
67,3,Avila Beach CSA 12,200,16, ,CWS,SW,Local_Govt,Small, , , ,vulnerable,,Active,37502375.3339844,57478.5349672231
68,3,Port SL Harbor,20,2,CA4000800,CWS,SW,Local_Govt,Small,Pre-Dates LAFCO, ,076-172-018,watch,,Active,422540.439453125,6141.6702326732
69,3,Shandon CSA 16,1254,350,CA4010028,CWS,GW,Local_Govt,Small, , , ,critical,,Active,12038906.6435547,17509.6988661845
70,3,Santa Margarita CSA 23,1200,520,CA4010024,CWS,GW,Local_Govt,Small, , , ,critical,,Active,13367551.8466797,16112.0883960134
71,4,Garden Farms Community Water District,240,107,CA4000507,CWS,GW,Local_Govt,Very_Small, , , ,pending,,Active,6758371.25878906,12577.2912538083
72,4,Garden Farms Community Water District,2,1,CA4000507,CWS,GW,Local_Govt,Very_Small,OUA Oslen, ,070-121-002,pending,,Active,551135.7734375,3218.06836995571
73,4,Garden Farms Community Water District,2,1,CA4000507,CWS,GW,Local_Govt,Very_Small,OUA Larsen,1-O-01,070-121-023,pending,,Active,48003.6455078125,992.407780753528
74,4,Garden Farms Community Water District,0,1,CA4000507,CWS,GW,Local_Govt,Very_Small,OUA SPRR Office, , ,pending,,Active,333.62109375,73.3666724277707
75,4,Garden Farms Community Water District,2,1,CA4000507,CWS,GW,Local_Govt,Very_Small,OUA Perry, ,070-121-003,pending,,Active,93883.9716796875,1267.62411452558
76,4,Garden Farms Community Water District,2,1,CA4000507,CWS,GW,Local_Govt,Very_Small, OUA Miller, ,070-121-028,pending,,Active,356804.0546875,2766.73024264766
77,4,Garden Farms Community Water District,2,1,CA4000507,CWS,GW,Local_Govt,Very_Small,OUA Eggen, ,070-121-031,pending,,Active,402557.565429688,2598.642175272
78,2,Hearst Monument State Park,4608,5,CA4010300,NTNCWS,GW,State_Govt,Medium, , , ,pending,,Active,5788820.79394531,10230.3760738401
79,3,Heritage Ranch CSD,3120,1704,CA4010012,CWS,GW,Local_Govt,Small, , , ,vulnerable,,Active,239171976.101562,76188.1255319648
80,2,Los Osos CSD,7313,2739,CA4010016,CWS,GW,Local_Govt,Medium, , , ,vulnerable,,Active,35628944.4931641,31762.5778456844
81,3,Montana De Oro State Park,990,6,CA4010305,TNCWS,GW,State_Govt,Small, , , ,pending,,Active,261066621.268555,76503.8126874906
82,1,Morro Bay Water Department,10270,5473,CA4010011,CWS,SWP,Local_Govt,Large, , , ,vulnerable,,Active,170195623.286133,100858.813847165
83,1,Nipomo CSD,12626,3995,CA4010026,CWS,GW,Local_Govt,Large, , , ,vulnerable,,Active,195375931.833008,176273.721255514
84,2,Oceano CSD,7600,2094,CA4010005,CWS,SWP,Local_Govt,Medium, , , ,critical,,Active,50702633.2197266,43756.5442533592
85,2,Oceano CSD,8,4,CA4010005,CWS,SWP,Local_Govt,Medium,OUA Christie,2-O-05,047-127-058,critical,,Active,446048.280273438,2945.2335977255
86,2,Oceano CSD,125,54,CA4010005,CWS,SWP,Local_Govt,Medium,OUA Canyon Crest,2-O-02,047-127-036,critical,,Active,3078390.70117188,8406.01702861723
87,1,Paso Robles Water Department,29000,9965,CA4010007,CWS,GW,Local_Govt,Large, , , ,vulnerable,,Active,551115694.560547,208059.691485215
88,3,El Paso De Robles Youth Correction Facility,1000,477,CA4010831,CWS,GW,State_Govt,Small, , , ,vulnerable,,Active,6805420.42285156,10438.8229906082
89,2,Pismo Beach Water Department,8800,4775,CA4010008,CWS,SWP,Local_Govt,Medium, , , ,vulnerable,,Active,97525974.984375,102522.426697156
90,1,San Luis Obispo Water Department,43509,14400,CA4010009,CWS,SW,Local_Govt,Large, , , ,vulnerable,,Active,368779856.180664,174755.455611077
91,3,San Miguel CSD,1425,668,CA4010010,CWS,GW,Local_Govt,Small, , , ,vulnerable,,Active,83152629.2167969,55717.2589234804
92,1,Santa Maria Valley Water Conservation District,110000, , ,CWS,SW,Local_Govt,Large, , , ,pending,,Active,2330675374.5752,334426.116627566
93,4,San Simeon CSD,499,180,CA4000568,CWS,GW,Local_Govt,Very Small, , , ,critical,,Active,4325230.86816406,10023.4126649497
